state_name,state_abbr,biden_win
Alabama,AL,0
Alaska,AK,0
Arizona,AZ,1
Arkansas,AR,0
California,CA,1
Colorado,CO,1
Connecticut,CT,1
Delaware,DE,1
Florida,FL,0
Georgia,GA,1
Hawaii,HI,1
Idaho,ID,0
Illinois,IL,1
Indiana,IN,0
Iowa,IA,0
Kansas,KS,0
Kentucky,KY,0
Louisiana,LA,0
Maine,ME,1
Maryland,MD,1
Massachusetts,MA,1
Michigan,MI,1
Minnesota,MN,1
Mississippi,MS,0
Missouri,MO,0
Montana,MT,0
Nebraska,NE,0
Nevada,NV,1
New Hampshire,NH,1
New Jersey,NJ,1
New Mexico,NM,1
New York,NY,1
North Carolina,NC,0
North Dakota,ND,0
Ohio,OH,0
Oklahoma,OK,0
Oregon,OR,1
Pennsylvania,PA,1
Rhode Island,RI,1
South Carolina,SC,0
South Dakota,SD,0
Tennessee,TN,0
Texas,TX,0
Utah,UT,0
Vermont,VT,1
Virginia,VA,1
Washington,WA,1
West Virginia,WV,0
Wisconsin,WI,1
Wyoming,WY,0
District of Columbia,DC,1
ME-1,ME-1,1
ME-2,ME-2,0
NE-1,NE-1,0
NE-2,NE-2,1
NE-3,NE-3,0